season,team,playerid,full_name,name,side,category,position,games,starts,years,av
2006,BAL,LandDa21,Dawan Landry,D.Landry,D,DB,SS,16,14,0,7
2006,BAL,WilcDa01,Daniel Wilcox,D.Wilcox,O,TE,TE,14,6,5,2
2006,BAL,LewiJa00,Jamal Lewis,J.Lewis,O,RB,RB,16,16,6,8
2006,BAL,WillDe03,Demetrius Williams,D.Williams,,,,16,0,0,4
2006,BAL,LewiRa00,Ray Lewis,R.Lewis,D,LB,MLB,14,14,10,12
2006,BAL,WinbJa21,Jamaine Winborne,J.Winborne,,,,1,0,0,0
2006,BAL,MartDe22,Derrick Martin,D.Martin,,,,8,0,0,1
2006,BAL,MasoDe00,Derrick Mason,D.Mason,O,WR,WR,16,15,9,7
2006,BAL,McAlCh00,Chris McAlister,C.McAlister,D,DB,LCB,16,16,7,12
2006,BAL,McNaSt00,Steve McNair,S.McNair,O,QB,QB,16,16,11,10
2006,BAL,MoorCl00,Clarence Moore,C.Moore,O,WR,WR,10,1,2,0
2006,BAL,MughOv00,Ovie Mughelli,O.Mughelli,O,RB,FB,16,8,3,2
2006,BAL,MuliEd20,Edwin Mulitalo,E.Mulitalo,O,OL,LG,4,4,7,2
2006,BAL,AndeMi00,Mike Anderson,M.Anderson,,,,16,0,6,2
2006,BAL,NdukIk20,Ikechuku Ndukwe,I.Ndukwe,,,,5,0,0,0
2006,BAL,BannJu20,Justin Bannan,J.Bannan,D,DL,DT,11,1,4,2
2006,BAL,NgatHa20,Haloti Ngata,H.Ngata,D,DL,DT,16,16,0,8
2006,BAL,BannAl00,Alex Bannister,A.Bannister,,,,2,0,5,0
2006,BAL,OgdeJo00,Jonathan Ogden,J.Ogden,O,OL,LT,14,14,10,10
2006,BAL,BollKy00,Kyle Boller,K.Boller,,,,5,0,3,2
2006,BAL,OgleEv20,Evan Oglesby,E.Oglesby,,,,16,0,1,1
2006,BAL,BrowJa23,Jason Brown,J.Brown,O,OL,LG,16,12,1,6
2006,BAL,PashTo20,Tony Pashos,T.Pashos,O,OL,RT,16,16,2,7
2006,BAL,ChesCh21,Chris Chester,C.Chester,O,OL,RG,11,4,0,2
2006,BAL,PrudRo20,Ronnie Prude,R.Prude,,,,15,0,0,2
2006,BAL,ClayMa01,Mark Clayton,M.Clayton,O,WR,WR,16,12,1,9
2006,BAL,PrycTr00,Trevor Pryce,T.Pryce,D,DL,DE,16,16,9,10
2006,BAL,CodyDa20,Dan Cody,D.Cody,,,,2,0,0,0
2006,BAL,ReedEd00,Ed Reed,E.Reed,D,DB,FS,16,16,4,15
2006,BUF,GandMi20,Mike Gandy,M.Gandy,O,OL,LG,16,16,4,7
2006,BUF,TripLa20,Larry Tripplett,L.Tripplett,D,DL,LDT,16,16,4,7
2006,BUF,GreeJa22,Jabari Greer,J.Greer,,,,16,0,2,1
2006,BUF,VillCh20,Chris Villarrial,C.Villarrial,O,OL,RG,8,8,10,4
2006,BUF,HaggMa20,Mario Haggan,M.Haggan,,,,16,0,3,1
2006,BUF,VincTr00,Troy Vincent,T.Vincent,D,DB,FS,1,1,14,0
2006,BUF,HargAn20,Anthony Hargrove,A.Hargrove,,,,10,0,2,1
2006,BUF,WhitDo20,Donte Whitner,D.Whitner,D,DB,SS,15,14,0,6
2006,BUF,JeffJa21,Jason Jefferson,J.Jefferson,,,,4,0,1,0
2006,BUF,WillKy20,Kyle Williams,K.Williams,D,DL,RDT,16,11,0,6
2006,BUF,KelsCh21,Chris Kelsay,C.Kelsay,D,DL,DE,16,16,3,8
2006,BUF,WillSh01,Shaud Williams,S.Williams,,,,5,0,2,0
2006,BUF,LeonJi23,Jim Leonhard,J.Leonhard,D,DB,SS,15,1,1,2
2006,BUF,WireCo20,Coy Wire,C.Wire,D,DB,SS,16,1,4,2
2006,BUF,linderia01,Rian Lindell,R.Lindell,S,K,K,16,0,6,5
2006,BUF,YoubAs20,Ashton Youboty,A.Youboty,D,LB,LB,3,1,0,1
2006,BUF,LosmJ.00,J.P. Losman,J.Losman,O,QB,QB,16,16,2,10
2006,BUF,McCaJo22,John McCargo,J.McCargo,,,,5,0,0,0
2006,BUF,McGaWi00,Willis McGahee,W.McGahee,O,RB,RB,14,14,2,7
2006,BUF,McGeTe99,Terrence McGee,T.McGee,D,DB,LCB,15,14,3,6
2006,BUF,MerzAa20,Aaron Merz,A.Merz,O,OL,LG,7,1,0,1
2006,BUF,MoorBr24,Brian Moorman,B.Moorman,S,P,P,16,0,5,2
2006,BUF,MurpMa00,Matt Murphy,M.Murphy,,,,2,0,4,0
2006,BUF,NeufRy00,Ryan Neufeld,R.Neufeld,,,,9,0,7,0
2006,BUF,ParrRo00,Roscoe Parrish,R.Parrish,O,WR,WR,16,1,1,4
2006,BUF,AikeSa00,Sam Aiken,S.Aiken,,,,15,0,3,0
2006,BUF,PennTe20,Terrance Pennington,T.Pennington,O,OL,RT,11,9,0,4
2006,BUF,AndeTi20,Tim Anderson,T.Anderson,D,DL,RDT,15,5,2,3
2006,BUF,PeteJa21,Jason Peters,J.Peters,O,OL,LT,16,16,2,7
