season,sportsbook,type,about,side,line
2021,WSGT,TOTAL,2021_18_PIT_BAL,Under,44.0
2021,WSGT,SPREAD,2021_18_NYJ_BUF,BUF,-6.5
2021,WSGT,SPREAD,2021_18_NYJ_BUF,NYJ,6.5
2021,WSGT,TOTAL,2021_18_NYJ_BUF,Over,44.5
2021,WSGT,TOTAL,2021_18_NYJ_BUF,Under,44.5
2021,WSGT,SPREAD,2021_18_CIN_CLE,CLE,-6.5
2021,WSGT,SPREAD,2021_18_CIN_CLE,CIN,6.5
2021,WSGT,TOTAL,2021_18_CIN_CLE,Over,43.0
2021,WSGT,TOTAL,2021_18_CIN_CLE,Under,43.0
2021,WSGT,SPREAD,2021_18_LAC_LV,LV,-1.5
2021,WSGT,SPREAD,2021_18_LAC_LV,LAC,1.5
2021,WSGT,TOTAL,2021_18_LAC_LV,Over,48.5
2021,WSGT,TOTAL,2021_18_LAC_LV,Under,48.5
2021,WSGT,SPREAD,2021_18_SF_LA,LA,-3.0
2021,WSGT,SPREAD,2021_18_SF_LA,SF,3.0
2021,WSGT,TOTAL,2021_18_SF_LA,Over,44.5
2021,WSGT,TOTAL,2021_18_SF_LA,Under,44.5
2021,WSGT,SPREAD,2021_18_KC_DEN,KC,-3.0
2021,WSGT,SPREAD,2021_18_KC_DEN,DEN,3.0
2021,WSGT,TOTAL,2021_18_KC_DEN,Over,45.5
2021,WSGT,TOTAL,2021_18_KC_DEN,Under,45.5
2021,WSGT,SPREAD,2021_18_SEA_ARI,ARI,-2.0
2021,WSGT,SPREAD,2021_18_SEA_ARI,SEA,2.0
2021,WSGT,TOTAL,2021_18_SEA_ARI,Over,49.0
2021,WSGT,TOTAL,2021_18_SEA_ARI,Under,49.0
