season,team,line,over_odds,under_odds
2017,WAS,7.5,120,-140
2018,ARI,6.0,-130,110
2018,ATL,9.5,-120,100
2018,BAL,8.5,-120,100
2018,BUF,5.5,120,-140
2018,CAR,8.5,110,-130
2018,CHI,7.5,115,-135
2018,CIN,7.0,-135,115
2018,CLE,6.0,100,-120
2018,DAL,8.5,120,-140
2018,DEN,7.0,-180,150
2018,DET,7.5,-110,-110
2018,GB,10.0,-120,100
2018,HOU,8.5,-140,120
2018,IND,7.5,110,-130
2018,JAX,9.0,-130,110
2018,KC,8.5,115,-135
2018,LAC,9.5,-130,110
2018,LA,10.0,-130,110
2018,MIA,6.5,-140,120
2018,MIN,10.0,-140,120
2018,NE,11.0,-120,100
2018,NO,9.5,-140,120
2018,NYG,7.0,-140,120
2018,NYJ,6.0,110,-130
2018,OAK,7.5,120,-140
2018,PHI,10.5,130,-150
2018,PIT,10.5,125,-145
2018,SF,8.5,130,-150
2018,SEA,7.5,100,-120
2018,TB,6.5,130,-150
2018,TEN,8.0,-110,-110
2018,WAS,7.0,-130,110
2019,ARI,5.0,-120,100
2019,ATL,8.5,-140,120
2019,BAL,8.5,110,-130
2019,BUF,7.0,-140,120
2019,CAR,8.0,-130,110
2019,CHI,9.0,-140,120
2019,CIN,6.0,130,-150
2019,CLE,9.0,100,-120
2019,DAL,9.0,-110,-110
2019,DEN,7.0,-130,110
2019,DET,6.5,-150,130
2019,GB,9.0,-140,120
2019,HOU,8.5,-115,-105
2019,IND,7.5,-110,-110
2019,JAX,8.0,-110,-110
2019,KC,10.5,-130,110
2019,LAC,10.0,120,-140
2019,LA,10.5,125,-145
2019,MIA,4.5,100,-120
2019,MIN,9.0,-125,105
2019,NE,11.5,-110,-110
2019,NO,10.5,130,-150
2019,NYG,6.0,105,-125
2019,NYJ,7.5,-110,-110
2019,OAK,6.0,145,-170
2019,PHI,10.0,-150,130
2019,PIT,9.5,-110,-110
2019,SF,8.0,-140,120
2019,SEA,9.0,100,-120
2019,TB,6.5,-110,-110
2019,TEN,8.0,120,-140
2019,WAS,6.0,130,-150
2020,ARI,7.5,-120,-110
2020,ATL,7.5,-130,100
2020,BAL,11.5,-115,-115
2020,BUF,9.0,-140,110
2020,CAR,5.5,-110,-120
2020,CHI,8.5,130,-160
2020,CIN,5.5,-120,-110
2020,CLE,8.5,-135,105
2020,DAL,9.5,-115,125
2020,DEN,7.5,-135,105
2020,DET,6.5,-130,100
2020,GB,9.0,-125,0
2020,HOU,7.5,-110,-120
2020,IND,9.0,-125,-105
2020,JAX,4.5,-120,-110
2020,KC,11.5,-145,115
2020,LA,8.5,-105,-125
2020,LAC,7.5,-130,100
2020,LV,7.5,-105,-125
2020,MIA,6.5,-110,-120
2020,MIN,9.0,-105,-125
2020,NE,9.0,100,-130
2020,NO,10.5,-115,-115
2020,NYG,6.5,100,-130
2020,NYJ,7.0,-140,110
2020,PHI,9.5,-125,-105
2020,PIT,9.5,110,-140
2020,SEA,9.0,-140,110
2020,SF,10.5,-125,-105
2020,TB,9.5,-140,110
2020,TEN,8.5,-125,-105
2020,WAS,5.5,100,-130
