game_id,off_pos,official_id,name
1999_03_WAS_NYJ,LJ,MariRo0r,Ron Marinucci
1999_03_WAS_NYJ,BJ,WaggBo0r,Bob Waggoner
1999_03_WAS_NYJ,SJ,LaneGa0r,Gary Lane
1999_03_WAS_NYJ,FJ,EdwaSc0r,Scott Edwards
1999_04_ARI_DAL,R,CaroBi0r,Bill Carollo
1999_04_ARI_DAL,U,GereNe0r,Neil Gereb
1999_04_ARI_DAL,DJ,WillDa0r,Dale Williams
1999_04_ARI_DAL,LJ,StewCh0r,Charles Stewart
1999_04_ARI_DAL,BJ,SchmBi0r,Bill Schmitz
1999_04_ARI_DAL,SJ,FincTo0r,Tom Fincken
1999_04_ARI_DAL,FJ,EdwaSc0r,Scott Edwards
1999_04_BAL_ATL,R,ColeWa0r,Walt Coleman
1999_04_BAL_ATL,U,RiceJe0r,Jeff Rice
1999_04_BAL_ATL,DJ,HameDa0r,Dale Hamer
1999_04_BAL_ATL,LJ,SteiMa0r,Mark Steinkerchner
1999_04_BAL_ATL,BJ,LawiRo0r,Robert Lawing
1999_04_BAL_ATL,SJ,DunnNe0r,Neely Dunn
1999_04_BAL_ATL,FJ,McGrBo0r,Bob McGrath
1999_04_BUF_MIA,R,CaroBi0r,Bill Carollo
1999_04_BUF_MIA,U,HannBu0r,Butch Hannah
1999_04_BUF_MIA,DJ,VeteTo0r,Tony Veteri
1999_04_BUF_MIA,LJ,MontBe0r,Ben Montgomery
1999_04_BUF_MIA,BJ,PagaPe0r,Perry Paganelli
1999_04_BUF_MIA,SJ,RoseLa0r,Larry Rose
1999_04_BUF_MIA,FJ,MillTi0r,Tim Mills
1999_04_CAR_WAS,R,WintRo0r,Ron Winter
1999_04_JAX_PIT,R,HantDi0r,Dick Hantak
1999_04_JAX_PIT,U,MadsCa0r,Carl Madsen
1999_04_JAX_PIT,DJ,BaltMa0r,Mark Baltz
1999_04_JAX_PIT,LJ,StepTo0r,Tom Stephan
1999_04_JAX_PIT,BJ,DorkDo0r,Don Dorkowski
1999_04_JAX_PIT,SJ,CarlDo0r,Don Carlsen
1999_04_JAX_PIT,FJ,SteeSc0r,Scott Steenson
1999_04_KC_SD,R,HochEd0r,Ed Hochuli
1999_04_KC_SD,U,BrowCh0r,Chad Brown
1999_04_KC_SD,DJ,HaywGe0r,George Hayward
1999_04_KC_SD,LJ,SpanMi0r,Michael Spanier
1999_04_KC_SD,BJ,CareDo0r,Don Carey
1999_04_KC_SD,SJ,HayeLa0r,Laird Hayes
1999_04_KC_SD,FJ,SaraJi0r,Jim Saracino
1999_04_NE_CLE,R,TripJe0r,Jeff Triplette
1999_04_NE_CLE,U,DaopJi0r,Jim Daopoulos
1999_04_NE_CLE,DJ,FranEa0r,Earnie Frantz
1999_04_NE_CLE,LJ,ArthGa0r,Gary Arthur
1999_04_NE_CLE,BJ,SkelBo0r,Bobby Skelton
1999_04_NE_CLE,SJ,McAuTe0r,Terry McAuley
1999_04_NE_CLE,FJ,CheeBo0r,Boris Cheek
1999_04_NO_CHI,R,BlumRo0r,Ron Blum
1999_04_NO_CHI,U,WilsSt0r,Steve Wilson
1999_04_NO_CHI,DJ,HittMa0r,Mark Hittner
1999_04_NO_CHI,LJ,PoinAa0r,Aaron Pointer
1999_04_NO_CHI,BJ,DornKi0r,Kirk Dornan
1999_04_NO_CHI,SJ,SpykBi0r,Bill Spyksma
1999_04_NO_CHI,FJ,JuryAl0r,Al Jury
1999_04_NYJ_DEN,R,McElBo0r,Bob McElwee
1999_04_NYJ_DEN,U,DawsSc0r,Scott Dawson
1999_04_NYJ_DEN,DJ,WilsJa0r,James Wilson
1999_04_NYJ_DEN,LJ,PharRo0r,Ron Phares
1999_04_NYJ_DEN,BJ,HoweJi0r,Jim Howey
1999_04_NYJ_DEN,SJ,BakeKe0r,Ken Baker
1999_04_NYJ_DEN,FJ,LoveBi0r,Bill Lovett
1999_04_OAK_SEA,R,KukaBe0r,Bernie Kukar
1999_04_OAK_SEA,U,PagaCa0r,Carl Paganelli
1999_04_OAK_SEA,DJ,JohnTo0r,Tom Johnson
1999_04_OAK_SEA,LJ,BergJe0r,Jeff Bergman
1999_04_OAK_SEA,BJ,ReelRi0r,Richard Reels
1999_04_OAK_SEA,SJ,WyanDa0r,Dave Wyant
1999_04_OAK_SEA,FJ,McPeLl0r,Lloyd McPeters
1999_04_PHI_NYG,R,CorrTo0r,Tony Corrente
1999_04_PHI_NYG,U,BotcRo0r,Ron Botchan
1999_04_PHI_NYG,DJ,GierTe0r,Terry Gierke
1999_04_PHI_NYG,LJ,BarnTo0r,Tom Barnes
1999_04_PHI_NYG,BJ,HortBu0r,Buddy Horton
1999_04_PHI_NYG,SJ,ToolDo0r,Doug Toole
1999_04_PHI_NYG,FJ,SiffTo0r,Tom Sifferman
1999_04_STL_CIN,R,LuckPh0r,Phil Luckett
1999_04_TB_MIN,R,CareMi0r,Mike Carey
1999_04_TB_MIN,U,DeFeGa0r,Garth DeFelice
1999_04_TB_MIN,DJ,SemoSi0r,Sid Semon
1999_04_TB_MIN,LJ,AndeWa0r,Walt Anderson
1999_04_TB_MIN,BJ,SpitRo0r,Ron Spitler
1999_04_TB_MIN,SJ,MoorTo0r,Tommy Moore
1999_04_TB_MIN,FJ,MorePe0r,Pete Morelli
1999_04_TEN_SF,R,AustGe0r,Gerry Austin
1999_04_TEN_SF,U,DukeJi0r,Jim Duke
1999_04_TEN_SF,DJ,SchlJo0r,John Schleyer
1999_04_TEN_SF,LJ,BaynRo0r,Ron Baynes
1999_04_TEN_SF,BJ,VaugJa0r,Jack Vaughan
1999_04_TEN_SF,SJ,PattRi0r,Rick Patterson
1999_04_TEN_SF,FJ,MackKe0r,Kevin Mack
1999_05_ATL_NO,R,GrieJo0r,Johnny Grier
1999_05_ATL_NO,U,BallBr0r,Brian Balliet
1999_05_ATL_NO,DJ,StabTo0r,Tom Stabile
1999_05_ATL_NO,LJ,AndeDa0r,Dave Anderson
1999_05_ATL_NO,BJ,GreeSc0r,Scott Green
1999_05_ATL_NO,SJ,LookDe0r,Dean Look
1999_05_ATL_NO,FJ,CarrDu0r,Duke Carroll
1999_05_BAL_TEN,R,HantDi0r,Dick Hantak
1999_05_BAL_TEN,U,MadsCa0r,Carl Madsen
1999_05_BAL_TEN,DJ,BaltMa0r,Mark Baltz
1999_05_BAL_TEN,LJ,StepTo0r,Tom Stephan
1999_05_BAL_TEN,BJ,DorkDo0r,Don Dorkowski
1999_05_BAL_TEN,SJ,CarlDo0r,Don Carlsen
1999_05_BAL_TEN,FJ,SteeSc0r,Scott Steenson
1999_05_CHI_MIN,R,TripJe0r,Jeff Triplette
1999_05_CHI_MIN,U,DaopJi0r,Jim Daopoulus
1999_05_CHI_MIN,DJ,FranEa0r,Earnie Frantz
1999_05_CHI_MIN,LJ,ArthGa0r,Gary Arthur
1999_05_CHI_MIN,BJ,SkelBo0r,Bobby Skelton
1999_05_CHI_MIN,SJ,McAuTe0r,Terry McAuley
1999_05_CHI_MIN,FJ,CheeBo0r,Boris Cheek
1999_05_CIN_CLE,R,WintRo0r,Ron Winter
1999_05_CIN_CLE,U,GereNe0r,Neil Gereb
1999_05_CIN_CLE,DJ,WillDa0r,Dale Williams
1999_05_CIN_CLE,LJ,StewCh0r,Charles Stewart
1999_05_CIN_CLE,BJ,SchmBi0r,Bill Schmitz
1999_05_CIN_CLE,SJ,FincTo0r,Tom Fincken
1999_05_CIN_CLE,FJ,SiffTo0r,Tom Sifferman
1999_05_DAL_PHI,R,KukaBe0r,Bernie Kukar
1999_05_DAL_PHI,U,PagaCa0r,Carl Paganelli
1999_05_DAL_PHI,DJ,JohnTo0r,Tom Johnson
1999_05_DAL_PHI,LJ,BarnTo0r,Tom Barnes
1999_05_DAL_PHI,BJ,ReelRi0r,Richard Reels
1999_05_DAL_PHI,SJ,WyanDa0r,Dave Wyant
1999_05_DAL_PHI,FJ,McPeLl0r,Lloyd McPeters
1999_05_DEN_OAK,R,BlumRo0r,Ron Blum
1999_05_DEN_OAK,U,WilsSt0r,Steve Wilson
1999_05_DEN_OAK,DJ,HittMa0r,Mark Hittner
1999_05_DEN_OAK,LJ,PoinAa0r,Aaron Pointer
1999_05_DEN_OAK,BJ,DornKi0r,Kirk Dornan
1999_05_DEN_OAK,SJ,SpykBi0r,Bill Spyksma
1999_05_DEN_OAK,FJ,JuryAl0r,Al Jury
1999_05_JAX_NYJ,R,CareMi0r,Mike Carey
1999_05_JAX_NYJ,U,DeFeGa0r,Garth DeFelice
1999_05_JAX_NYJ,DJ,SemoSi0r,Sid Semon
1999_05_JAX_NYJ,LJ,AndeWa0r,Walt Anderson
1999_05_JAX_NYJ,BJ,SpitRo0r,Ron Spitler
1999_05_JAX_NYJ,SJ,MoorTo0r,Tommy Moore
1999_05_JAX_NYJ,FJ,MorePe0r,Pete Morelli
1999_05_MIA_IND,R,AustGe0r,Gerry Austin
1999_05_MIA_IND,U,DukeJi0r,Jim Duke
1999_05_MIA_IND,DJ,SchlJo0r,John Schleyer
1999_05_MIA_IND,LJ,BaynRo0r,Ron Baynes
1999_05_MIA_IND,BJ,VaugJa0r,Jack Vaughan
1999_05_MIA_IND,SJ,PattRi0r,Rick Patterson
1999_05_MIA_IND,FJ,MackKe0r,Keven Mack
1999_05_NE_KC,R,McElBo0r,Bob McElwee
1999_05_NE_KC,U,DawsSc0r,Scott Dawson
1999_05_NE_KC,DJ,WilsJa0r,James Wilson
1999_05_NE_KC,LJ,PharRo0r,Ron Phares
1999_05_NE_KC,BJ,HoweJi0r,Jim Howey
1999_05_NE_KC,SJ,BakeKe0r,Ken Baker
1999_05_NE_KC,FJ,LoveBi0r,Bill Lovett
1999_05_NYG_ARI,R,WhitTo0r,Tom White
1999_05_NYG_ARI,U,QuirJi0r,Jim Quirk
1999_05_NYG_ARI,DJ,WeidPa0r,Paul Weidner
